PassengerId,Survived,Pclass,Sex,Age,Company,Fare,Cabin,Embarked,Title
1,0,3,male,Young Adult,Family,2.1102132003465894,M,S,Mr
2,1,1,female,Adult,Family,4.2805931204649,Other,C,Mrs
3,1,3,female,Young Adult,Alone,2.188856327665703,M,S,Miss
4,1,1,female,Adult,Family,3.9908341858524357,Other,S,Mrs
5,0,3,male,Adult,Alone,2.2027647577118348,M,S,Mr
6,0,3,male,Young Adult,Alone,2.246892662898172,M,Q,Mr
7,0,1,male,Adult,Alone,3.967694202798607,Other,S,Mr
8,0,3,male,Infant,Family,3.0944457464900235,M,S,Master
9,1,3,female,Young Adult,Family,2.495953738718064,M,S,Mrs
10,1,2,female,Child,Family,3.436268471383741,M,C,Mrs
11,1,3,female,Infant,Family,2.8735646395797834,Other,S,Miss
12,1,1,female,Adult,Alone,3.3160025355989236,Other,S,Miss
13,0,3,male,Child,Alone,2.2027647577118348,M,S,Mr
14,0,3,male,Adult,Family,3.4742929367327062,M,S,Mr
15,0,3,female,Child,Alone,2.180891922715322,M,S,Miss
16,1,2,female,Adult,Alone,2.833213344056216,M,S,Mrs
17,0,3,male,Infant,Family,3.405355391810819,M,Q,Master
18,1,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
19,0,3,female,Adult,Family,2.9444389791664403,M,S,Mrs
20,1,3,female,Young Adult,Alone,2.1071782966514356,M,C,Mrs
21,0,2,male,Adult,Alone,3.295836866004329,M,S,Mr
22,1,2,male,Adult,Alone,2.6390573296152584,Other,S,Mr
23,1,3,female,Child,Alone,2.2004637699272855,M,Q,Miss
24,1,1,male,Young Adult,Alone,3.597312260588446,Other,S,Mr
25,0,3,female,Child,Family,3.0944457464900235,M,S,Miss
26,1,3,female,Adult,Family,3.4777725458882283,M,S,Mrs
27,0,3,male,Young Adult,Alone,2.1071782966514356,M,C,Mr
28,0,1,male,Child,Family,5.575949103146316,Other,S,Mr
29,1,3,female,Young Adult,Alone,2.1837114628556327,M,Q,Miss
30,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
31,0,1,male,Adult,Alone,3.357621598945279,M,C,Other
32,1,1,female,Young Adult,Family,4.993969182787072,Other,C,Mrs
33,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
34,0,2,male,Senior,Alone,2.4423470353692043,M,S,Mr
35,0,1,male,Young Adult,Family,4.420896324687287,M,C,Mr
36,0,1,male,Adult,Family,3.970291913552122,M,S,Mr
37,1,3,male,Young Adult,Alone,2.1076888046179385,M,C,Mr
38,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
39,0,3,female,Child,Family,2.9444389791664403,M,S,Miss
40,1,3,female,Child,Family,2.5048481563289,M,C,Miss
41,0,3,female,Adult,Family,2.348991465808201,M,S,Mrs
42,0,2,female,Young Adult,Family,3.091042453358316,M,S,Mrs
43,0,3,male,Young Adult,Alone,2.1855792552411137,M,C,Mr
44,1,2,female,Infant,Family,3.7513658711253766,M,C,Miss
45,1,3,female,Child,Alone,2.1837114628556327,M,Q,Miss
46,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
47,0,3,male,Young Adult,Family,2.803360380906535,M,Q,Mr
48,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
49,0,3,male,Young Adult,Family,3.1214482048688246,M,C,Mr
50,0,3,female,Child,Family,2.9338568698359038,M,S,Mrs
51,0,3,male,Child,Family,3.705920919968788,M,S,Master
52,0,3,male,Young Adult,Alone,2.174751721484161,M,S,Mr
53,1,1,female,Adult,Family,4.353230991152628,Other,C,Mrs
54,1,2,female,Young Adult,Family,3.295836866004329,M,S,Mrs
55,0,1,male,Adult,Family,4.142804513146981,Other,C,Mr
56,1,1,male,Young Adult,Alone,3.597312260588446,Other,S,Mr
57,1,2,female,Young Adult,Alone,2.4423470353692043,M,S,Miss
58,0,3,male,Young Adult,Alone,2.1076888046179385,M,C,Mr
59,1,2,female,Infant,Family,3.3586377672433594,M,S,Miss
60,0,3,male,Child,Family,3.8691155044168695,M,S,Master
61,0,3,male,Young Adult,Alone,2.1076888046179385,M,C,Mr
62,1,1,female,Adult,Alone,4.394449154672439,Other,C,Miss
63,0,1,male,Adult,Family,4.436455632600354,Other,S,Mr
64,0,3,male,Infant,Family,3.3638415951183864,M,S,Master
65,0,1,male,Young Adult,Alone,3.357621598945279,M,C,Mr
66,1,3,male,Young Adult,Family,2.7878344138303452,M,C,Master
67,1,2,female,Young Adult,Alone,2.4423470353692043,Other,S,Mrs
68,0,3,male,Child,Alone,2.2146605719425225,M,S,Mr
69,1,3,female,Child,Family,2.188856327665703,M,S,Miss
70,0,3,male,Young Adult,Family,2.2682524139135403,M,S,Mr
71,0,2,male,Adult,Alone,2.4423470353692043,M,S,Mr
72,0,3,female,Child,Family,3.8691155044168695,M,S,Miss
73,0,2,male,Young Adult,Alone,4.310799125385514,M,S,Mr
74,0,3,male,Young Adult,Family,2.737880811060884,M,C,Mr
75,1,3,male,Adult,Alone,4.05171190165724,M,S,Mr
76,0,3,male,Young Adult,Alone,2.157559320943788,Other,S,Mr
77,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
78,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
79,1,2,male,Infant,Family,3.4011973816621555,M,S,Master
80,1,3,female,Young Adult,Alone,2.600836116795061,M,S,Miss
81,0,3,male,Young Adult,Alone,2.302585092994046,M,S,Mr
82,1,3,male,Young Adult,Alone,2.3513752571634776,M,S,Mr
83,1,3,female,Young Adult,Alone,2.1733302571367834,M,Q,Miss
84,0,1,male,Young Adult,Alone,3.8732821771117156,M,S,Mr
85,1,2,female,Child,Alone,2.4423470353692043,M,S,Miss
86,1,3,female,Adult,Family,2.8243506567983707,M,S,Mrs
87,0,3,male,Child,Family,3.5660053559634015,M,S,Mr
88,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
89,1,1,female,Young Adult,Family,5.575949103146316,Other,S,Miss
